Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
78,"[76, 75]",84.52808023926401,0,1,"{3: 1, 2: 1, 0: 1, 1: 1}","{0: 3.481970943030807e-26, 1: 5.540425108008237e-26, 2: 5.532766975118223e-26, 3: 4.078784922384159e-26}",{}
79,"[77, 72]",84.53519432999964,0,0,"{3: 118, 0: 118, 1: 118, 2: 118}","{0: 0.6413414924392431, 1: 0.5813389260957893, 2: 0.5817005087209322, 3: 0.4977000277520031}",{}
80,[76],84.56251023398582,0,1,"{3: 2, 2: 2, 0: 2, 1: 2}","{0: 2.046861800743735e-26, 1: 3.0444397866450385e-26, 2: 3.0466086021337475e-26, 3: 3.048515394116236e-26}",{}
81,"[71, 75]",84.74112980535537,0,3,"{3: 1, 0: 1, 1: 1, 2: 1}","{0: 2.3335887945810356e-26, 1: 3.8026871010143234e-26, 2: 3.7947436290863515e-26, 3: 2.3405724327594946e-26}",{}
82,"[77, 75]",85.5844373679505,0,3,"{3: 117, 0: 116, 1: 116, 2: 116}","{0: 0.3586585075607572, 1: 0.4186610739042109, 2: 0.418299491279068, 3: 0.5022999722479972}",{}
83,"[77, 75]",85.59703159573715,0,2,"{2: 1, 3: 1, 0: 1, 1: 1}","{0: 6.308057864310007e-26, 1: 7.363378322413146e-26, 2: 7.357018835396811e-26, 3: 5.358342190202791e-26}",{}
84,"[79, 82]",86.98300081706634,0,3,"{3: 116, 0: 115, 1: 115, 2: 115}","{0: 1.0000000000000002, 1: 1.0000000000000002, 2: 1.0000000000000002, 3: 1.0000000000000002}",{}
85,"[80, 79]",87.54693733908172,0,2,"{1: 1, 0: 1, 3: 1, 2: 1}","{0: 2.064421377183349e-25, 1: 1.9901862471055146e-25, 2: 1.9914516308058423e-25, 3: 1.18020246736821e-25}",{}
86,[84],88.83853480226422,0,3,"{0: 112, 1: 112, 2: 112, 3: 112}","{0: 0.9259392562016981, 1: 0.9259392562016981, 2: 0.9259392562016981, 3: 0.9259392562016981}",{}
87,[84],89.26581126457059,0,0,"{0: 106, 3: 106, 1: 106, 2: 106}","{0: 0.04609980105300303, 1: 0.04609980105300303, 2: 0.04609980105300303, 3: 0.04609980105300303}",{}
88,[84],90.02187969452504,0,1,"{1: 105, 0: 105, 2: 105, 3: 105}","{0: 0.027960942745299082, 1: 0.027960942745299082, 2: 0.027960942745299082, 3: 0.027960942745299082}",{}
89,[86],91.54753418102085,0,0,"{1: 1, 3: 1, 0: 1, 2: 1}","{0: 3.2709994725804823e-24, 1: 3.2709994725804823e-24, 2: 3.2709994725804823e-24, 3: 3.2709994725804823e-24}",{}
90,[86],91.60980539403916,0,3,"{1: 110, 0: 110, 2: 110, 3: 110}","{0: 0.9259392562016981, 1: 0.9259392562016981, 2: 0.9259392562016981, 3: 0.9259392562016981}",{}
91,[90],93.761228699395,0,1,"{3: 109, 0: 109, 1: 109, 2: 109}","{0: 0.9259392562016981, 1: 0.9259392562016981, 2: 0.9259392562016981, 3: 0.9259392562016981}",{}
